ma_hc,ten_nguyen_lieu,chuc_nang,ten_ke_toan
HC001,Sodium Laureth Sulfate,Chất hoạt động bề mặt,NL SLES
HC002,Cocamidopropyl Betaine,Chất hoạt động bề mặt,NL Cocamidopropyl Betaine
HC003,Glycerin,Chất giữ ẩm,NL Glycerin
HC004,Sodium Chloride,Chất điều chỉnh độ nhớt,NL Muối (NaCl)
HC005,Citric Acid,Chất điều chỉnh pH,NL Acid Citric
HC006,Methylchloroisothiazolinone,Chất bảo quản,NL MIT
HC007,Parfum / Fragrance,Hương liệu,NL Hương liệu
HC008,Aqua,Dung môi,NL Nước tinh khiết
HC009,Tocopheryl Acetate,Chất chống oxy hóa,NL Vitamin E
HC010,Panthenol,Chất dưỡng tóc,NL D-Panthenol
